,YEAR,AGELOW,AGEHIGH,POPPROJ
111,2027,25,34,38278198.7
112,2027,34,44,47822323.56
113,2027,45,54,40174080.28
114,2027,55,64,39032860.97
115,2027,65,74,35094216.38
116,2027,75,90,22100413.5
117,2028,0,4,21549802.87
118,2028,5,14,42943525.45
119,2028,15,24,40406961.98
120,2028,25,34,38021691.35
121,2028,34,44,47825139.33
122,2028,45,54,40355782.24
123,2028,55,64,38690573.1
124,2028,65,74,35218675.43
125,2028,75,90,22729442.03
126,2029,0,4,21554372.7
127,2029,5,14,43066478.91
128,2029,15,24,40442591.98
129,2029,25,34,37763831.48
130,2029,34,44,47776444.72
131,2029,45,54,40577126.57
132,2029,55,64,38374572.93
133,2029,65,74,35287360.59
134,2029,75,90,23364284.11
135,2030,0,4,21572024.67
136,2030,5,14,43109864.56
137,2030,15,24,40585747.08
138,2030,25,34,37507323.27
139,2030,34,44,47679839.8
140,2030,45,54,40822911.98
141,2030,55,64,38095259.66
142,2030,65,74,35301911.19
143,2030,75,90,23987441.75
144,2031,0,4,21607899.26
145,2031,5,14,43088325.59
146,2031,15,24,40815185.57
147,2031,25,34,37255091.12
148,2031,34,44,47540439.59
149,2031,45,54,41078692.01
150,2031,55,64,37863129.12
151,2031,65,74,35268202.73
152,2031,75,90,24595141.95
153,2032,0,4,21608891.22
154,2032,5,14,43034270.03
155,2032,15,24,41098600.17
156,2032,25,34,37010612.86
157,2032,34,44,47364127.39
158,2032,45,54,41330642.16
159,2032,55,64,37686345.31
160,2032,65,74,35189693.67
161,2032,75,90,25175694.63
162,2033,0,4,21514310.93
163,2033,5,14,42980567.9
164,2033,15,24,41405083.86
165,2033,25,34,36777903.9
166,2033,34,44,47156383.86
167,2033,45,54,41565643.21
168,2033,55,64,37569727.46
169,2033,65,74,35069867.82
170,2033,75,90,25716773.09
171,2034,0,4,21296812.16
172,2034,5,14,42949112.54
173,2034,15,24,41711696.05
174,2034,25,34,36562841.9
175,2034,34,44,46922555.37
176,2034,45,54,41773273.09
177,2034,55,64,37516494.89
178,2034,65,74,34917092.75
179,2034,75,90,26220322.67
180,2035,0,4,20965272.49
181,2035,5,14,42944180.87
182,2035,15,24,42002898.43
183,2035,25,34,36375023.22
184,2035,34,44,46668129.34
185,2035,45,54,41945720.01
186,2035,55,64,37526198.52
187,2035,65,74,34736902.26
188,2035,75,90,26672432.85
189,2036,0,4,20564346.72
190,2036,5,14,42945403.13
191,2036,15,24,42266636.67
192,2036,25,34,36228416.15
193,2036,34,44,46397232.01
194,2036,45,54,42076366.92
195,2036,55,64,37594734.87
196,2036,65,74,34538326.25
197,2036,75,90,27068759.52
198,2037,0,4,20152138.07
199,2037,5,14,42913187.97
200,2037,15,24,42491292.14
201,2037,25,34,36140056.24
202,2037,34,44,46114032.61
203,2037,45,54,42161688.35
204,2037,55,64,37714816.33
205,2037,65,74,34331430.3
206,2037,75,90,27409875.99
207,2038,0,4,19777131.53
208,2038,5,14,42808237.02
209,2038,15,24,42665638.5
210,2038,25,34,36125268.41
211,2038,34,44,45822363.79
212,2038,45,54,42200147.75
213,2038,55,64,37876873.62
214,2038,65,74,34123217.46
215,2038,75,90,27693641.7
216,2039,0,4,19467382.19
217,2039,5,14,42609314.02
218,2039,15,24,42782211.6
219,2039,25,34,36191728.85
220,2039,34,44,45525711.18
221,2039,45,54,42192174.5
222,2039,55,64,38069710.73
223,2039,65,74,33921748.66
224,2039,75,90,27917445.34
225,2040,0,4,19241257.57
226,2040,5,14,42317233.31
227,2040,15,24,42842235.05
228,2040,25,34,36336753.51
229,2040,34,44,45228618.95
230,2040,45,54,42139706.09
231,2040,55,64,38282430.36
232,2040,65,74,33735479.49
233,2040,75,90,28075087.82
234,2041,0,4,19101943.05
235,2041,5,14,41946796.84
236,2041,15,24,42857372.08
237,2041,25,34,36548110.48
238,2041,34,44,44937441.32
239,2041,45,54,42046173.63
240,2041,55,64,38504328.39
241,2041,65,74,33577523.43
242,2041,75,90,28179450.21
243,2042,0,4,19028501.24
244,2042,5,14,41515541.43
245,2042,15,24,42844724.63
246,2042,25,34,36804356.6
247,2042,34,44,44658331.3
248,2042,45,54,41915763.02
249,2042,55,64,38723328.28
250,2042,65,74,33455840.06
251,2042,75,90,28233381.29
252,2043,0,4,19005467.15
253,2043,5,14,41039648.52
254,2043,15,24,42821472.08
255,2043,25,34,37081257.99
256,2043,34,44,44399674.73
257,2043,45,54,41753075.05
258,2043,55,64,38928528.61
259,2043,65,74,33376398.28
260,2043,75,90,28241665.54
261,2044,0,4,19017180.81
262,2044,5,14,40538065.82
263,2044,15,24,42797708.75
264,2044,25,34,37355572.55
265,2044,34,44,44172381.02
266,2044,45,54,41562891.97
267,2044,55,64,39110515.25
268,2044,65,74,33342739.29
269,2044,75,90,28210011.13
270,2045,0,4,19048138.82
271,2045,5,14,40035169.6
272,2045,15,24,42771656.2
273,2045,25,34,37607497.11
274,2045,34,44,43989314.08
275,2045,45,54,41350003.19
276,2045,55,64,39261704.13
277,2045,65,74,33355817.51
278,2045,75,90,28144869.19
279,2046,0,4,19087197.35
280,2046,5,14,39557231.16
281,2046,15,24,42729557.34
282,2046,25,34,37821992.02
283,2046,34,44,43863421.18
284,2046,45,54,41119081.77
285,2046,55,64,39376536.72
286,2046,65,74,33413915.29
287,2046,75,90,28053343.28
288,2047,0,4,19128175.49
289,2047,5,14,39128842.77
290,2047,15,24,42650621.16
291,2047,25,34,37989650.32
292,2047,34,44,43804939.47
293,2047,45,54,40874611.49
294,2047,55,64,39451514.91
295,2047,65,74,33512735.73
296,2047,75,90,27943121.67
297,2048,0,4,19167546.72
298,2048,5,14,38769738.68
299,2048,15,24,42514626.97
300,2048,25,34,38107336.44
301,2048,34,44,43818688.76
302,2048,45,54,40620878.9
303,2048,55,64,39485086.42
304,2048,65,74,33645728.63
305,2048,75,90,27822323.22
306,2049,0,4,19202761.69
307,2049,5,14,38491439.3
308,2049,15,24,42308384.15
309,2049,25,34,38178251.1
310,2049,34,44,43902580.58
311,2049,45,54,40362050.36
312,2049,55,64,39477416.76
313,2049,65,74,33804611.46
314,2049,75,90,27699193.68
315,2050,0,4,19231683.53
316,2050,5,14,38295706.67
317,2050,15,24,42028448.24
318,2050,25,34,38210905.27
319,2050,34,44,44047943.44
320,2050,45,54,40102360.12
321,2050,55,64,39430090.72
322,2050,65,74,33980007.48
323,2050,75,90,27581678.28
324,2051,0,4,19252497.22
325,2051,5,14,38175733.85
326,2051,15,24,41680249.38
327,2051,25,34,38216793.32
328,2051,34,44,44241403.04
329,2051,45,54,39846428.13
330,2051,55,64,39345785.11
331,2051,65,74,34162117.41
332,2051,75,90,27476967.37
333,2052,0,4,19263719.84
334,2052,5,14,38118949.2
335,2052,15,24,41275720.65
336,2052,25,34,38207101.22
337,2052,34,44,44467403.51
338,2052,45,54,39599683.75
339,2052,55,64,39227949.94
340,2052,65,74,34341352.11
341,2052,75,90,27391106.5
342,2053,0,4,19264206.81
343,2053,5,14,38109956.46
344,2053,15,24,40831290.64
345,2053,25,34,38189269.7
346,2053,34,44,44710374.09
347,2053,45,54,39368786.51
348,2053,55,64,39080525.7
349,2053,65,74,34508873.71
350,2053,75,90,27328713.06
351,2054,0,4,19253142.58
352,2054,5,14,38132962.34
353,2054,15,24,40366601.26
354,2054,25,34,38164456.94
355,2054,34,44,44955999.51
356,2054,45,54,39161839.5
357,2054,55,64,38907712.56
358,2054,65,74,34657015.55
359,2054,75,90,27292804.42
360,2055,0,4,19230024.06
361,2055,5,14,38173604.69
362,2055,15,24,39903287.05
363,2055,25,34,38126794.87
364,2055,34,44,45191686.03
365,2055,45,54,38988152.48
366,2055,55,64,38713796.81
367,2055,65,74,34779568.8
368,2055,75,90,27284730.28
369,2056,0,4,19194645.12
370,2056,5,14,38220073.33
371,2056,15,24,39463225.03
372,2056,25,34,38064785.06
373,2056,34,44,45406721.35
374,2056,45,54,38857397.68
375,2056,55,64,38503036.15
376,2056,65,74,34871934.96
377,2056,75,90,27304202.61
378,2057,0,4,19147087.28
379,2057,5,14,38263420.59
380,2057,15,24,39066246.52
381,2057,25,34,37964404.22
382,2057,34,44,45592598.01
383,2057,45,54,38778214.79
384,2057,55,64,38279607.79
385,2057,65,74,34931152.96
386,2057,75,90,27349415.72
387,2058,0,4,19087717.21
388,2058,5,14,38297222.3
389,2058,15,24,38727782.34
390,2058,25,34,37812862.38
391,2058,34,44,45743594.3
392,2058,45,54,38756577.71
393,2058,55,64,38047628.3
394,2058,65,74,34955817.73
395,2058,75,90,27417244.74
396,2059,0,4,19017188.11
397,2059,5,14,38316960.88
398,2059,15,24,38457091.41
399,2059,25,34,37601838.16
400,2059,34,44,45857276.14
401,2059,45,54,38794394.54
402,2059,55,64,37811255.76
403,2059,65,74,34945915.02
404,2059,75,90,27503504.82
405,2060,0,4,18936439.27
406,2060,5,14,38319457.21
407,2060,15,24,38256576.39
408,2060,25,34,37329436.73
409,2060,34,44,45934401.86
410,2060,45,54,38888775.47
411,2060,55,64,37574877.02
412,2060,65,74,34902601.73
413,2060,75,90,27603249.46
414,2061,0,4,18846687.11
415,2061,5,14,38302490.23
416,2061,15,24,38122305.95
417,2061,25,34,37000738.94
418,2061,34,44,45977908.55
419,2061,45,54,39032179.63
420,2061,55,64,37343358.71
421,2061,65,74,34827961.33
422,2061,75,90,27711084.71
423,2062,0,4,18749402.1
424,2062,5,14,38264593.01
425,2062,15,24,38045469.05
426,2062,25,34,36627223
427,2062,34,44,45991125.46
428,2062,45,54,39213357.66
429,2062,55,64,37122301.13
430,2062,65,74,34724760.72
431,2062,75,90,27821477.39
432,2063,0,4,18646268.33
433,2063,5,14,38204959.39
434,2063,15,24,38014281.73
435,2063,25,34,36225402
436,2063,34,44,45975818.03
437,2063,45,54,39418788.46
438,2063,55,64,36918191.18
439,2063,65,74,34596228.82
440,2063,75,90,27929038.1
441,2064,0,4,18539125.81
442,2064,5,14,38123402.39
443,2064,15,24,38015879.1
444,2064,25,34,35814904.69
445,2064,34,44,45930839.47
446,2064,45,54,39634251.24
447,2064,55,64,36738328.84
448,2064,65,74,34445871.52
449,2064,75,90,28028764.24
