,YEAR,AGELOW,AGEHIGH,POPPROJ,AGE GROUP,POPULATION
91,2000,5,14,38301652.76,14-May,41089914
92,2000,15,24,35536350.03,15-24,39296684
93,2000,25,34,32216888.01,25-34,39848678
94,2000,34,44,44794000.55,35-44,45159337.5
95,2000,45,54,36677406.18,45-54,37838754.5
96,2000,55,64,24735463.35,55-64,24352033
97,2000,65,74,18122549.71,65-74,18387560.5
98,2000,75,90,13372542.52,75+,16643320.5
99,2001,0,4,18547637.93,<4,19298217
100,2001,5,14,38297574.02,14-May,41152040
101,2001,15,24,35760343.57,15-24,40213570
102,2001,25,34,31887635.08,25-34,39471522
103,2001,34,44,44340409.17,35-44,45051752
104,2001,45,54,37498842.56,45-54,39386268
105,2001,55,64,25574553.43,55-64,25105295
106,2001,65,74,18194578.37,65-74,18384179
107,2001,75,90,13464633.37,75+,16906112
108,2002,0,4,18524085.88,<4,19429192
109,2002,5,14,38234351.51,14-May,41133838
110,2002,15,24,36018059.89,15-24,40854135
111,2002,25,34,31633208.65,25-34,39349646
112,2002,34,44,43802482.84,35-44,44640649
113,2002,45,54,38216298.31,45-54,39992194
114,2002,55,64,26486997.02,55-64,26703332
115,2002,65,74,18313331.76,65-74,18388535
116,2002,75,90,13540751,75+,17133672
117,2003,0,4,18518093.07,<4,19592446
118,2003,5,14,38118839.49,14-May,41036204
119,2003,15,24,36310309.8,15-24,41388854
120,2003,25,34,31452734.32,25-34,39243795
121,2003,34,44,43202506.73,35-44,44154206
122,2003,45,54,38820612.84,45-54,40819954
123,2003,55,64,27457037.76,55-64,28008945
124,2003,65,74,18489686.63,65-74,18500915
125,2003,75,90,13611102.51,75+,17362614
126,2004,0,4,18524269.18,<4,19785885
127,2004,5,14,37957103.37,14-May,40865917
128,2004,15,24,36631683.85,15-24,41948112
129,2004,25,34,31342750.45,25-34,39266556
130,2004,34,44,42563931.65,35-44,43800275
131,2004,45,54,39304895.79,45-54,41629930
132,2004,55,64,28467081.87,55-64,29305304
133,2004,65,74,18733634.99,65-74,18667533
134,2004,75,90,13683076.55,75+,17535786
135,2005,0,4,18555822.09,<4,19917400
136,2005,5,14,37759526.37,14-May,40601646
137,2005,15,24,36965327.48,15-24,42446169
138,2005,25,34,31297797.37,25-34,39258647
139,2005,34,44,41909520.81,35-44,43505538
140,2005,45,54,39663731.21,45-54,42495904
141,2005,55,64,29496491.2,55-64,30641497
142,2005,65,74,19051860.23,65-74,18881697
143,2005,75,90,13755444.01,75+,17768101
144,2006,0,4,18616361.14,<4,19938883
145,2006,5,14,37547269.05,14-May,40577826
146,2006,15,24,37285593.79,15-24,42843844
147,2006,25,34,31311617.82,25-34,39395179
148,2006,34,44,41261407.28,35-44,43243801
149,2006,45,54,39895326.11,45-54,43286159
150,2006,55,64,30525195.87,55-64,31930113
151,2006,65,74,19451215.43,65-74,19203027
152,2006,75,90,13834228.25,75+,17961080
153,2007,0,4,18657629.36,<4,20125962
154,2007,5,14,37349192.35,14-May,40555653
155,2007,15,24,37566099.67,15-24,43145815
156,2007,25,34,31377768.98,25-34,39713463
157,2007,34,44,40639847.6,35-44,42796230
158,2007,45,54,40000534.89,45-54,43939939
159,2007,55,64,31533396.66,55-64,33128434
160,2007,65,74,19934557.18,65-74,19698727
161,2007,75,90,13920623.34,75+,18126984
162,2008,0,4,18623772.14,<4,20271127
163,2008,5,14,37190707.53,14-May,40636257
164,2008,15,24,37787048.43,15-24,43391492
165,2008,25,34,31489602.4,25-34,40207473
166,2008,34,44,40061827.1,35-44,42192486
167,2008,45,54,39982307.43,45-54,44460447
168,2008,55,64,32501884.18,55-64,34157063
169,2008,65,74,20501461.13,65-74,20505679
170,2008,75,90,14015355.82,75+,18271942
171,2009,0,4,18487220.52,<4,20244518
172,2009,5,14,37086931.2,14-May,40843063
173,2009,15,24,37938343.25,15-24,43576932
174,2009,25,34,31640932.21,25-34,40723342
175,2009,34,44,39541101.71,35-44,41487811
176,2009,45,54,39847233.61,45-54,44867088
177,2009,55,64,33414235.38,55-64,35405600
178,2009,65,74,21150569.57,65-74,21233099
179,2009,75,90,14126796.07,75+,18390076
180,2010,0,4,18252460.15,<4,20200945.5
181,2010,5,14,37038162.29,14-May,41051135.5
182,2010,15,24,38018447.55,15-24,43626683.5
183,2010,25,34,31826844.08,25-34,41155511.5
184,2010,34,44,39088357.57,35-44,41026015.5
185,2010,45,54,39605201.38,45-54,45009982.5
186,2010,55,64,34255487.59,55-64,36624557
187,2010,65,74,21875171.88,65-74,21777400.5
188,2010,75,90,14254892.76,75+,18575382
189,2011,0,4,17956574.89,<4,20125967
190,2011,5,14,37023672.14,14-May,41049762
191,2011,15,24,38031408.23,15-24,43835815
192,2011,25,34,32043650.68,25-34,41819155
193,2011,34,44,38709984.44,35-44,40671719
194,2011,45,54,39267859.14,45-54,44760623
195,2011,55,64,35012211.86,55-64,38089851
196,2011,65,74,22666919.26,65-74,22495505
197,2011,75,90,14404625.53,75+,18870460
198,2012,0,4,17648930.95,<4,19980580
199,2012,5,14,37005912.89,14-May,41143020
200,2012,15,24,37984209.45,15-24,43980135
201,2012,25,34,32288066.68,25-34,42328649
202,2012,34,44,38409384.07,35-44,40576051
203,2012,45,54,38850237.24,45-54,44317574
204,2012,55,64,35672784.9,55-64,38615342
205,2012,65,74,23514739.1,65-74,24009505
206,2012,75,90,14583356.62,75+,19151767
207,2013,0,4,17370986.65,<4,19853916
208,2013,5,14,36947213.09,14-May,41231973
209,2013,15,24,37885401.02,15-24,44034570
210,2013,25,34,32554721.59,25-34,42898916
211,2013,34,44,38186878.98,35-44,40542105
212,2013,45,54,38369391.44,45-54,43844480
213,2013,55,64,36227922.45,55-64,39342253
214,2013,65,74,24402738.75,65-74,25220955
215,2013,75,90,14796589.22,75+,19458227
216,2014,0,4,17146623.05,<4,19872010
217,2014,5,14,36825394.86,14-May,41207303
218,2014,15,24,37745626.62,15-24,44003825
219,2014,25,34,32833636.37,25-34,43547161
220,2014,34,44,38040010.21,35-44,40534422
221,2014,45,54,37843951.14,45-54,43464825
222,2014,55,64,36670825.68,55-64,40076125
223,2014,65,74,25313562.64,65-74,26392080
224,2014,75,90,15048694.14,75+,19809650
225,2015,0,4,16991606.86,<4,19907281
226,2015,5,14,36637572.91,14-May,41109506
227,2015,15,24,37579527.54,15-24,43848216
228,2015,25,34,33110502.22,25-34,44137202
229,2015,34,44,37965042.66,35-44,40589783
230,2015,45,54,37293157.76,45-54,43188161
231,2015,55,64,36998430.87,55-64,40877819
232,2015,65,74,26229049.21,65-74,27550517
233,2015,75,90,15340840.82,75+,20210335
